"Sample_ID","Centroid.X","Centroid.Y","Mass","Width","Depth","Orientation..0","Orientation..1","Orientation..2","Orientation..3","Orientation..4","Orientation..5","Orientation..6","Orientation..7","Orientation..8","Orientation..9","Leaf.weight","Leaf.Area","Leaf.Hue","Class"
13,0.0104877882878211,0.0180079670444259,3.33302356532406e-05,0.015614051962779,0.0481686284698621,1.64693750855603e-05,1.27832221030075e-05,9.77928370418742e-06,6.42071277077764e-06,4.54743547903463e-06,3.03613708033243e-06,3.41991468333091e-06,3.74198041610989e-06,4.13128176873746e-06,5.14642416969756e-06,1.38939535147538e-06,0,0.00425050094666765,"A"
14,0.0121058711671726,0.0170683398091534,2.38273290829733e-05,0.01191972561198,0.0338234145657752,1.82523180597364e-05,1.26835871034881e-05,8.41461910367993e-06,5.44520683199512e-06,4.51527375543868e-06,3.56135151768319e-06,3.49862893181526e-06,3.61763620125053e-06,4.35141916602988e-06,5.12131807357547e-06,0,0,0.00417853282742216,"A"
15,0.0110108678497445,0.0164457517521573,2.72123513945543e-05,0.0179635017734392,0.0444449075013553,1.95914935078234e-05,1.40250784652167e-05,8.87387699854266e-06,5.49977338927083e-06,4.33467188075156e-06,3.09920576458242e-06,3.06612961043589e-06,3.21613463751142e-06,3.63131153340673e-06,4.12939802651993e-06,0,0,0,"A"
16,0.00921994418866953,0.0194113258191836,2.18880298082213e-05,0.0142588413570541,0.0491522260943382,1.73064820334567e-05,1.20246661496416e-05,8.38163958198009e-06,5.32544581558167e-06,4.47452383182642e-06,3.49857412016864e-06,3.69935988006617e-06,4.14192557917628e-06,4.86874399134705e-06,5.74510587345759e-06,0,0.602853563514702,0,"A"
17,0.0117747296260787,0.0172373736476139,2.19587380828113e-05,0.0152955627212031,0.048348063842947,1.86709565646801e-05,1.34589876692767e-05,7.89636498128192e-06,5.41174164715018e-06,4.25842103022538e-06,3.4150836167543e-06,3.49957253966821e-06,3.80202598448437e-06,4.19842763364635e-06,4.85771629097262e-06,0,0.568122125567229,0,"A"
18,0.0110667215428739,0.0188733102572318,2.18824163036525e-05,0.0101188560893271,0.0478865758157117,1.04422734328509e-05,1.03754035713286e-05,8.68967061549521e-06,6.2359731377943e-06,5.15198821179185e-06,4.20433054926686e-06,4.48586810593168e-06,5.09049183679136e-06,6.34460363857731e-06,8.42029269959768e-06,0,0.461164806359265,0,"A"
19,0.0104121496048868,0.0177475874085827,3.32512287286255e-05,0.0157981056929592,0.0481585830303193,1.64667632307088e-05,1.27780177753698e-05,9.76148089526059e-06,6.42002911879494e-06,4.55071459100365e-06,3.02764836102329e-06,3.41260194824726e-06,3.74475677537097e-06,4.15226275006102e-06,5.14489326442954e-06,0,0.712558814260163,0.00424827683662919,"A"
20,0.0121348400602508,0.0169249958907417,2.42652894922514e-05,0.0116071506373847,0.0340179697281056,1.82260182645981e-05,1.26889553797774e-05,8.42591113651997e-06,5.45930794435678e-06,4.49914968344527e-06,3.55544221084406e-06,3.4923421957289e-06,3.61330830420045e-06,4.33388701131752e-06,5.1244424763721e-06,0,0.482890980640109,0.00415278790190611,"A"
21,0.0110416846386403,0.0163316337649638,2.70291593395832e-05,0.018291275135375,0.0437633080168388,1.95863903281672e-05,1.40286922825259e-05,8.88502474267545e-06,5.50948630482415e-06,4.34315768233047e-06,3.10088602985072e-06,3.06501406490819e-06,3.21098074492489e-06,3.62263086912978e-06,4.12740410525103e-06,0,0.702162689246562,0.00451392487971853,"A"
22,0.0091501757010952,0.019162610157316,2.12797988596803e-05,0.0141910169322965,0.0492098223045945,1.73084113478418e-05,1.20002417603487e-05,8.38036738212652e-06,5.33030314173043e-06,4.47687072898436e-06,3.4870757621189e-06,3.69175766446104e-06,4.13903772093824e-06,4.87434005900419e-06,5.75684341591709e-06,0,0.604724477028134,0.00402229661159173,"A"
23,0.0117604119069817,0.01728813520678,2.23703035233695e-05,0.0154128935601012,0.0481862316990937,1.86673722720222e-05,1.34388984018897e-05,7.90055845433174e-06,5.41473634989075e-06,4.24264250085589e-06,3.43006122917343e-06,3.50583530868475e-06,3.79581893022142e-06,4.2072535592073e-06,4.85659171437514e-06,0,0.56833598956663,0.0038464072137251,"A"
24,0.0110373705660739,0.019067262901321,2.1756198072343e-05,0.00961989302668663,0.0478156601738654,1.0426417027872e-05,1.03821979230066e-05,8.6959568652932e-06,6.2369738497962e-06,5.15871100960927e-06,4.19866431714448e-06,4.49933336151073e-06,5.08956990350589e-06,6.33387959055694e-06,8.43128767971158e-06,0,0.462695518431864,0.00454432120006723,"A"
25,0.0104685521091799,0.0177412587127567,3.35826403681757e-05,0.0155600463391415,0.0482252437461594,1.64805899374885e-05,1.27818475047166e-05,9.7675474816535e-06,6.42608271434132e-06,4.52628568617586e-06,3.02187611803558e-06,3.41981596679119e-06,3.74127988297367e-06,4.14592141073735e-06,5.16175170133597e-06,0,0.711083052704244,0.00423211106957599,"A"
26,0.0120354079819225,0.0170705211598552,2.40941653779544e-05,0.0119074046902004,0.0342802789214781,1.82452447174718e-05,1.26786214739717e-05,8.4173254374153e-06,5.44064905948414e-06,4.52885856848773e-06,3.57610113032515e-06,3.49763738982268e-06,3.62107155072682e-06,4.33646795212242e-06,5.12302557099267e-06,0,0.484312247331552,0.00413988558486282,"A"
27,0.010894262844872,0.016449051566117,2.69987616617952e-05,0.0184947931690191,0.0442359435103278,1.95877178259558e-05,1.40308878050603e-05,8.86476061988349e-06,5.50251195697835e-06,4.3421009776959e-06,3.12111896071705e-06,3.06205812629793e-06,3.22454034044831e-06,3.62439310872382e-06,4.12268495446998e-06,0,0.703540388667969,0.00454547580427705,"A"
28,0.0092010275709592,0.0195280767105681,2.14152540691654e-05,0.0141522446809745,0.049257878509549,1.73160692087308e-05,1.20278788485128e-05,8.382285511879e-06,5.3144276325654e-06,4.47948202807769e-06,3.50518132029281e-06,3.68264420353211e-06,4.13650360275668e-06,4.85808913521519e-06,5.74659440216739e-06,0,0.604204292688243,0.0040067190950788,"A"
29,0.0117607453618661,0.017078600493824,2.24421197018129e-05,0.0152159694231208,0.0481720049714983,1.86763110164857e-05,1.3457419319804e-05,7.90243497169344e-06,5.40919828948954e-06,4.25431793734318e-06,3.43229377909395e-06,3.50579084803351e-06,3.79318026003966e-06,4.18354950193438e-06,4.86382129414701e-06,0,0.567246336532822,0.00387307383841351,"A"
30,0.0110281936097774,0.0188698715037369,2.17571950329775e-05,0.00962159938479964,0.0479046149399469,1.04284988283969e-05,1.0389966866054e-05,8.68380569983757e-06,6.23553936856557e-06,5.17444737082984e-06,4.19193047363402e-06,4.49079372086196e-06,5.09812906515935e-06,6.34613357126858e-06,8.43890524813534e-06,0,0.464246866637861,0.00455590351441517,"A"
31,0.0104915882841074,0.0176369845916285,3.3381938944576e-05,0.0155978271318347,0.0478979805007268,1.6474103892639e-05,1.27814809822228e-05,9.77547106440343e-06,6.41968114472917e-06,4.54593389000852e-06,3.03340719634585e-06,3.42001506714506e-06,3.74526348785566e-06,4.13806639464802e-06,5.15033344192824e-06,0,0.713506268654148,0.00423299844234679,"A"
32,0.0121720480677633,0.0170056433439181,2.403294514528e-05,0.0116543770468064,0.0340209783178527,1.82420423001262e-05,1.26888187327446e-05,8.41749973706214e-06,5.44883127817875e-06,4.51017842586621e-06,3.57246522162988e-06,3.49715672850083e-06,3.62301719050726e-06,4.34353247172653e-06,5.12092668090496e-06,0,0.486026022314824,0.00412015973467095,"A"
33,0.0109871647650484,0.0164122325893029,2.70395473623378e-05,0.0180306113542884,0.044305896467923,1.95873140676666e-05,1.40243989814201e-05,8.87232233461412e-06,5.50623685644589e-06,4.33523854564566e-06,3.10315824700853e-06,3.05945676138136e-06,3.21932656492213e-06,3.63460495614787e-06,4.12792533691714e-06,0,0.702376523443433,0.00451369947880536,"A"
34,0.00936034953591288,0.0191658821833687,2.17762294714136e-05,0.0140231360557805,0.0490173825661565,1.7303964101731e-05,1.20308586847232e-05,8.37597168258329e-06,5.32726668765955e-06,4.47273401273465e-06,3.5084045785687e-06,3.69525963544443e-06,4.14223430282338e-06,4.86580041835542e-06,5.75719604445729e-06,0,0.600233108514415,0.00400554973410096,"A"
35,0.0116903724873138,0.0170870549645378,2.21602041601427e-05,0.0151927430538637,0.04888217943467,1.86764901095465e-05,1.3453648222941e-05,7.89821642005752e-06,5.39972824024365e-06,4.24800876252189e-06,3.42520091582467e-06,3.50808084945181e-06,3.80048507556981e-06,4.20060127320397e-06,4.85521003016786e-06,0,0.567453893927783,0.00387759830433912,"A"
36,0.0110393851893336,0.0188209092115509,2.19312228446195e-05,0.0100928103590227,0.0477230884643352,1.04373530281532e-05,1.03815330278612e-05,8.68764953154719e-06,6.23560133559824e-06,5.15769841827711e-06,4.19676292960598e-06,4.48884724744431e-06,5.08647954089537e-06,6.343962015804e-06,8.43052865303106e-06,0,0.463269296127056,0.00454863184846871,"A"
37,0.0104333149450795,0.0177582549429471,3.33140619798332e-05,0.0156980159582352,0.0485070670875541,1.64654972136645e-05,1.27691521131018e-05,9.75697696181948e-06,6.41968336776173e-06,4.53819377691475e-06,3.01661927125351e-06,3.40228777185558e-06,3.75161059317004e-06,4.13802672741073e-06,5.1606101741152e-06,0,0.714611046367874,0.00424763744661421,"A"
38,0.0120963993117127,0.0171817374018041,0,0.0118837850317481,0.0343350673026686,0,1.26892265202802e-05,0,5.45135761574634e-06,4.51976025196813e-06,0,0,0,0,5.11963475163739e-06,0,0.483705106849952,0.00412606292400234,"A"
39,0.010973711854247,0.0165065362148736,2.71680519826376e-05,0.018085090692271,0.0442141561586772,1.95807329881751e-05,1.40294040002947e-05,8.87434980978076e-06,5.51911682923314e-06,4.3450750479155e-06,3.10775971600331e-06,3.05248804058673e-06,3.2100806946162e-06,3.63449185936626e-06,4.11886064376504e-06,0,0.701390661993748,0.0045241451482678,"A"
40,0.00931666379908202,0.0193694410721832,2.14161906605718e-05,0.0143129806196834,0.0492428850649698,1.73144354882067e-05,1.20368404485299e-05,8.3845703725345e-06,5.3305740043542e-06,4.47954941375224e-06,3.50434400118425e-06,3.69943997870818e-06,4.13604412971395e-06,4.87829525075123e-06,5.75988362135542e-06,0,0.605168390440735,0.00401745650283017,"A"
