"V1","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","Class"
1,-0.220850060543226,0.477805891400269,-1.95959141347817,0.0719315187029513,-1.03277110296559,1.00040085019875,0.631674361042004,0.165821860000954,0.0967957109143503,-0.440639819194022,"A"
2,0.352390965910172,0.427628778604075,1.06617617206435,1.92858827366135,-1.46151264714464,-0.336746395669629,0.277858661173647,0.0419515823337259,0.101935805126739,0.145545642262581,"A"
3,1.79343955140077,0.573718194211789,-1.65024321287907,-0.130019124032822,-0.870525100495142,-0.245349231973735,1.05515094325939,0.461412819182785,0.355732823197684,0.46801525048168,"A"
4,4.32847923227214,-3.66893495058637,7.9762389406058,-4.51353362782086,-3.1192340642141,-1.53532871400476,1.72283522294622,-0.157159084820552,-0.381569046530942,-4.01803760770383,"A"
5,0.439276041751676,1.08410624742883,0.288968716700898,0.606884253407461,-1.14856763420451,-0.430351040154535,1.0533179600908,0.139062103659952,0.312232287095934,0.693905959885256,"A"
6,-3.80046944786637,3.02690660913774,4.55860425164315,-0.160505008379966,0.56493370927495,0.108257274608699,0.614464811233931,0.458014239297209,1.87142299426437,-1.36042023235034,"A"
7,0.0217509827502778,-0.235950019118633,-0.835015897897345,-0.416345497208997,-0.442306404214009,0.516421686468776,0.589777420602712,0.3148738697571,0.283392860356171,-0.117205320763314,"A"
8,0.370351295546188,-0.15768681973511,1.15317996180422,0.764789733170489,-0.176124820167527,0.805975569019383,0.153539218634454,-0.389509016917347,0.686175470495581,0.0713927429167179,"A"
9,1.66355828042015,0.863180448983636,-2.24235960299852,-0.0570024074239489,-0.998364222914875,0.123412679605125,1.08373256213567,0.355073068923997,0.356786211376538,0.343018406821916,"A"
10,-0.901563405074996,1.46069524391274,0.579682178532455,0.883357699249272,-1.46184448503679,-0.685323791823703,0.645567441075199,0.48603015638734,0.229588672147155,0.168910260554075,"A"
11,0.718742258231266,-0.0259044624558226,1.6849624228712,-0.45878435799572,0.138153216131456,-0.469735133383664,0.930583894145473,0.0886087037351553,0.778133154648073,0.976706924979053,"A"
12,-4.98632478361606,0.154391626265982,3.04236828865271,0.520722299749262,0.0160425414846015,0.463180863844347,0.0753057858913056,-0.494778356481772,0.167721546827545,-0.284343159951475,"A"
13,-0.581732590564227,-1.27675360013311,0.191157462777095,0.61172969708581,-2.99833544904498,2.05356993270162,2.43722536154194,-0.125221897203705,1.61927273694072,0.830727122557354,"A"
14,0.124842214435834,-1.51327068124525,2.6670283985315,0.843733561213002,-1.15437275885506,1.76240634364738,1.33854310234815,-0.686954732009333,1.86738856415755,0.903136289090026,"A"
15,1.43475169025535,-1.54680022737768,0.594342672806772,-0.385742408669018,-1.84911312002041,1.72795430066848,2.71198617909604,-0.19770457450619,2.29391615876387,1.59488809670391,"A"
16,-0.883595612282073,0.652613647605264,0.84114171949436,-0.547268282899638,0.206905140988281,0.641550187391936,0.465097129256671,-0.044998717913548,0.96157019171522,0.058877770431202,"A"
17,0.459652511951839,0.47762941033655,0.448555227190949,-0.500422872527958,0.170258699435188,0.699573184662018,0.892804863182785,-0.317982350213055,0.886258485832003,0.591685027973115,"A"
18,-5.05844323535875,0.190463214914688,2.62500933843363,0.230801597155352,0.245080456955223,0.97033008663116,0.086159138584134,-0.645134796570637,0.319213634629909,-0.364073028777447,"A"
19,-0.21668348306562,0.1753222245549,-1.90024310298261,-0.51050626073362,-0.372939735496352,1.54399628015764,0.564652615789645,-0.0546786308292562,0.393071876076095,-0.472113653665064,"A"
20,0.375794658199747,-0.290244914024062,1.20958965909464,0.565256884864491,0.151079236652859,1.1595253795761,0.0804773988181433,-0.537791219571366,0.81721213933614,0.00494099474466458,"A"
21,1.8102356610969,0.110502062102821,-1.54372483126588,-0.946155265393283,0.119494168338911,0.614223328802989,0.929216761116084,0.123609966463247,0.785012566663556,0.378571414463829,"A"
22,-0.866421089489542,0.626909331683439,0.914141494865915,-0.561362979371486,0.211138512441744,0.603404531678079,0.451760442665735,-0.0381177833087079,0.963283375228941,0.0636072240823932,"A"
23,0.439640973390953,0.492307295337687,0.391213653629361,-0.510642623575227,0.172576641169873,0.717429731169315,0.888825091718315,-0.296165232682756,0.877556307784159,0.591364211073504,"A"
24,-5.05640631893133,0.200572845654596,2.71475712682378,0.335417774686763,0.250787969665717,1.02967019421424,0.0329644808084933,-0.704542170059382,0.299857164348146,-0.432718473094163,"A"
25,-0.221900557722392,0.208145736441135,-1.88911092480129,-0.456136872580398,-0.390258301460446,1.62273015650941,0.550576213482917,-0.0740644468179423,0.377087059509334,-0.511410915077616,"A"
26,0.34694389992304,-0.29322709404176,1.17138417532431,0.509245254493446,0.171568256442273,1.08618231916182,0.105592254580637,-0.516935777297376,0.853806048430882,0.0507508095939094,"A"
